descricao_alimento,kcal,carboidrato_g,proteina_g,lipideos_g,fibra_alimentar_g,base_por,fonte
"Carne, bovina, costela, assada",373.0,0.0,28.8,27.7,,100g,TACO
"Carne, bovina, costela, crua",358.0,0.0,16.7,31.8,,100g,TACO
"Carne, bovina, coxão duro, sem gordura, cozido",217.0,0.0,31.9,8.9,,100g,TACO
"Carne, bovina, coxão duro, sem gordura, cru",148.0,0.0,21.5,6.2,,100g,TACO
"Carne, bovina, coxão mole, sem gordura, cozido",219.0,0.0,32.4,8.9,,100g,TACO
"Carne, bovina, coxão mole, sem gordura, cru",169.0,0.0,21.2,8.7,,100g,TACO
"Carne, bovina, cupim, assado",330.0,0.0,28.6,23.0,,100g,TACO
"Carne, bovina, cupim, cru",221.0,0.0,19.5,15.3,,100g,TACO
"Carne, bovina, fígado, cru",141.0,1.1,20.7,5.4,,100g,TACO
"Carne, bovina, fígado, grelhado",225.0,4.2,29.9,9.0,,100g,TACO
"Carne, bovina, filé mingnon, sem gordura, cru",143.0,0.0,21.6,5.6,,100g,TACO
"Carne, bovina, filé mingnon, sem gordura, grelhado",220.0,0.0,32.8,8.8,,100g,TACO
"Carne, bovina, flanco, sem gordura, cozido",196.0,0.0,29.4,7.8,,100g,TACO
"Carne, bovina, flanco, sem gordura, cru",141.0,0.0,20.0,6.2,,100g,TACO
"Carne, bovina, fraldinha, com gordura, cozida",338.0,0.0,24.2,26.0,,100g,TACO
"Carne, bovina, fraldinha, com gordura, crua",221.0,0.0,17.6,16.1,,100g,TACO
"Carne, bovina, lagarto, cozido",222.0,0.0,32.9,9.1,,100g,TACO
"Carne, bovina, lagarto, cru",135.0,0.0,20.5,5.2,,100g,TACO
"Carne, bovina, língua, cozida",315.0,0.0,21.4,24.8,,100g,TACO
"Carne, bovina, língua, crua",215.0,0.0,17.1,15.8,,100g,TACO
"Carne, bovina, maminha, crua",153.0,0.0,20.9,7.0,,100g,TACO
"Carne, bovina, maminha, grelhada",153.0,0.0,30.7,2.4,,100g,TACO
"Carne, bovina, miolo de alcatra, sem gordura, cru",163.0,0.0,21.6,7.8,,100g,TACO
"Carne, bovina, miolo de alcatra, sem gordura, grelhado",241.0,0.0,31.9,11.6,,100g,TACO
"Carne, bovina, músculo, sem gordura, cozido",194.0,0.0,31.2,6.7,,100g,TACO
"Carne, bovina, músculo, sem gordura, cru",142.0,0.0,21.6,5.5,,100g,TACO
"Carne, bovina, paleta, com gordura, crua",159.0,0.0,21.4,7.5,,100g,TACO
"Carne, bovina, paleta, sem gordura, cozida",194.0,0.0,29.7,7.4,,100g,TACO
"Carne, bovina, paleta, sem gordura, crua",141.0,0.0,21.0,5.7,,100g,TACO
"Carne, bovina, patinho, sem gordura, cru",133.0,0.0,21.7,4.5,,100g,TACO
"Carne, bovina, patinho, sem gordura, grelhado",219.0,0.0,35.9,7.3,,100g,TACO
"Carne, bovina, peito, sem gordura, cozido",338.0,0.0,22.2,27.0,,100g,TACO
"Carne, bovina, peito, sem gordura, cru",259.0,0.0,17.6,20.4,,100g,TACO
"Carne, bovina, picanha, com gordura, crua",213.0,0.0,18.8,14.7,,100g,TACO
"Carne, bovina, picanha, com gordura, grelhada",289.0,0.0,26.4,19.5,,100g,TACO
"Carne, bovina, picanha, sem gordura, crua",134.0,0.0,21.3,4.7,,100g,TACO
"Carne, bovina, picanha, sem gordura, grelhada",238.0,0.0,31.9,11.3,,100g,TACO
"Carne, bovina, seca, cozida",313.0,0.0,26.9,21.9,,100g,TACO
"Carne, bovina, seca, crua",313.0,0.0,19.7,25.4,,100g,TACO
"Coxinha de frango, frita",283.0,34.5,9.6,11.8,5.0,100g,TACO
"Croquete, de carne,",246.0,13.9,12.0,15.6,,100g,TACO
"Croquete, de carne,",347.0,18.1,16.9,22.7,,100g,TACO
"Empada de frango, pré-cozida, assada",358.0,47.5,6.9,15.6,2.2,100g,TACO
"Empada, de frango, pré-cozida",377.0,35.5,7.3,22.9,2.2,100g,TACO
"Frango, asa, com pele, crua",213.0,0.0,18.1,15.1,,100g,TACO
"Frango, caipira, inteiro, com pele, cozido",243.0,0.0,23.9,15.6,,100g,TACO
"Frango, caipira, inteiro, sem pele, cozido",196.0,0.0,29.6,7.7,,100g,TACO
"Frango, coração, cru",222.0,0.0,12.6,18.6,,100g,TACO
"Frango, coração, grelhado",207.0,0.6,22.4,12.1,,100g,TACO
"Frango, coxa, com pele, assada",215.0,0.1,28.5,10.4,,100g,TACO
"Frango, coxa, com pele, crua",161.0,0.0,17.1,9.8,,100g,TACO
"Frango, coxa, sem pele, cozida",167.0,0.0,26.9,5.8,,100g,TACO
"Frango, coxa, sem pele, crua",120.0,0.0,17.8,4.9,,100g,TACO
"Frango, fígado, cru",106.0,0.0,17.6,3.5,,100g,TACO
"Frango, filé, à milanesa",221.0,7.5,28.5,7.8,1.1,100g,TACO
"Frango, inteiro, com pele, cru",226.0,0.0,16.4,17.3,,100g,TACO
"Frango, inteiro, sem pele, assado",187.0,0.0,28.0,7.5,,100g,TACO
"Frango, inteiro, sem pele, cozido",170.0,0.0,25.0,7.1,,100g,TACO
"Frango, inteiro, sem pele, cru",129.0,0.0,20.6,4.6,,100g,TACO
"Frango, peito, com pele, assado",212.0,0.0,33.4,7.6,,100g,TACO
"Frango, peito, com pele, cru",149.0,0.0,20.8,6.7,,100g,TACO
"Frango, peito, sem pele, cozido",163.0,0.0,31.5,3.2,,100g,TACO
"Frango, peito, sem pele, cru",119.0,0.0,21.5,3.0,,100g,TACO
"Frango, peito, sem pele, grelhado",159.0,0.0,32.0,2.5,,100g,TACO
"Frango, sobrecoxa, com pele, assada",260.0,0.0,28.7,15.2,,100g,TACO
"Frango, sobrecoxa, com pele, crua",255.0,0.0,15.5,20.9,,100g,TACO
"Frango, sobrecoxa, sem pele, assada",233.0,0.0,29.2,12.0,,100g,TACO
"Frango, sobrecoxa, sem pele, crua",162.0,0.0,17.6,9.6,,100g,TACO
"Hambúrguer, bovino, cru",215.0,4.2,13.2,16.2,,100g,TACO
"Hambúrguer, bovino, frito",258.0,6.3,20.0,17.0,,100g,TACO
"Hambúrguer, bovino, grelhado",210.0,11.3,13.2,12.4,,100g,TACO
"Lingüiça, frango, crua",218.0,0.0,14.2,17.4,,100g,TACO
"Lingüiça, frango, frita",245.0,0.0,18.3,18.5,,100g,TACO
"Lingüiça, frango, grelhada",244.0,0.0,18.2,18.4,,100g,TACO
"Lingüiça, porco, crua",227.0,0.0,16.1,17.6,,100g,TACO
"Lingüiça, porco, frita",280.0,0.0,20.5,21.3,,100g,TACO
"Lingüiça, porco, grelhada",296.0,0.0,23.2,21.9,,100g,TACO
Mortadela,269.0,5.8,12.0,21.6,,100g,TACO
"Peru, congelado, assado",163.0,0.0,26.2,5.7,,100g,TACO
"Peru, congelado, cru",94.0,0.0,18.1,1.8,,100g,TACO
"Porco, bisteca, crua",164.0,0.0,21.5,8.0,,100g,TACO
"Porco, bisteca, frita",311.0,0.0,33.7,18.5,,100g,TACO
"Porco, bisteca, grelhada",280.0,0.0,28.9,17.4,,100g,TACO
"Porco, costela, assada",402.0,0.0,30.2,30.3,,100g,TACO
"Porco, costela, crua",256.0,0.0,18.0,19.8,,100g,TACO
"Porco, lombo, assado",210.0,0.0,35.7,6.4,,100g,TACO
"Porco, lombo, cru",176.0,0.0,22.6,8.8,,100g,TACO
"Porco, orelha, salgada, crua",258.0,0.0,18.5,19.9,,100g,TACO
"Porco, pernil, assado",262.0,0.0,32.1,13.9,,100g,TACO
"Porco, pernil, cru",186.0,0.0,20.1,11.1,,100g,TACO
"Porco, rabo, salgado, cru",377.0,0.0,15.6,34.5,,100g,TACO
"Presunto, com capa de gordura",128.0,1.4,14.4,6.8,,100g,TACO
"Presunto, sem capa de gordura",94.0,2.1,14.3,2.7,,100g,TACO
"Quibe, assado",136.0,12.9,14.6,2.7,1.9,100g,TACO
"Quibe, cru",109.0,10.8,12.4,1.7,1.6,100g,TACO
"Quibe,",254.0,12.3,14.9,15.8,,100g,TACO
Salame,398.0,2.9,25.8,30.6,,100g,TACO
"Toucinho, cru",593.0,0.0,11.5,60.3,,100g,TACO
"Toucinho, frito 6, 3 697",697.0,0.0,27.3,64.3,,100g,TACO
"Bebida láctea, pêssego",55.0,7.6,2.1,1.9,0.3,100g,TACO
Creme de Leite,221.0,4.5,1.5,22.5,,100g,TACO
"Iogurte, natural",51.0,1.9,4.1,3.0,,100g,TACO
"Iogurte, natural, desnatado",41.0,5.8,3.8,0.3,,100g,TACO
"Iogurte, sabor abacaxi",,,,,,100g,TACO
"Iogurte, sabor morango",70.0,9.7,2.7,2.3,0.2,100g,TACO
"Iogurte, sabor pêssego",68.0,9.4,2.5,2.3,0.7,100g,TACO
"Leite, condensado",313.0,57.0,7.7,6.7,,100g,TACO
"Leite, de cabra",66.0,5.2,3.1,3.8,,100g,TACO
"Leite, de vaca, achocolatado",83.0,14.2,2.1,2.2,0.6,100g,TACO
"Leite, de vaca, desnatado, pó",362.0,53.0,34.7,0.9,,100g,TACO
"Leite, de vaca, desnatado, UHT",,,,,,100g,TACO
"Leite, de vaca, integral",,,,,,100g,TACO
"Leite, de vaca, integral, pó",497.0,39.2,25.4,26.9,,100g,TACO
"Leite, fermentado",70.0,15.7,1.9,0.1,,100g,TACO
"Queijo, minas, frescal",264.0,3.2,17.4,20.2,,100g,TACO
"Queijo, minas, meia cura",321.0,3.6,21.2,24.6,,100g,TACO
"Queijo, mozarela",330.0,3.0,22.6,25.2,,100g,TACO
"Queijo, parmesão",453.0,1.7,35.6,33.5,,100g,TACO
"Queijo, pasteurizado",303.0,5.7,9.4,27.4,,100g,TACO
"Queijo, petit suisse, morango",121.0,18.5,5.8,2.8,,100g,TACO
"Queijo, prato",360.0,1.9,22.7,29.1,,100g,TACO
"Queijo, requeijão, cremoso",257.0,2.4,9.6,23.4,,100g,TACO
"Queijo, ricota 73, 6 140 585 12, 6",140.0,3.8,12.6,8.1,,100g,TACO
"Bebida isotônica, sabores variados",26.0,6.4,0.0,0.0,,100g,TACO
"Café, infusão 10%",9.0,1.5,0.7,0.1,,100g,TACO
"Cana, aguarde nte",216.0,,,,,100g,TACO
"Cana, caldo de",65.0,18.2,,,0.1,100g,TACO
"Cerveja, pilsen",41.0,3.3,0.6,,,100g,TACO
"Chá, erva-doce, infusão 5%",1.0,0.4,0.0,0.0,,100g,TACO
"Chá, mate, infusão 5%",3.0,0.6,0.0,0.1,,100g,TACO
"Chá, preto, infusão 5%",2.0,0.6,0.0,0.0,,100g,TACO
"Coco, água de",22.0,5.3,0.0,0.0,0.1,100g,TACO
"Refrigerante, tipo água tônica",31.0,8.0,0.0,0.0,,100g,TACO
"Refrigerante, tipo cola",34.0,8.7,0.0,0.0,,100g,TACO
"Refrigerante, tipo guaraná",39.0,10.0,0.0,0.0,,100g,TACO
"Refrigerante, tipo laranja",46.0,11.8,0.0,0.0,,100g,TACO
"Refrigerante, tipo limão 89, 7 40",40.0,10.3,0.0,0.0,,100g,TACO
"Omelete, de queijo",268.0,0.4,15.6,22.0,,100g,TACO
"Ovo, de codorna, inteiro, cru",177.0,0.8,13.7,12.7,,100g,TACO
"Ovo, de galinha, clara, cozida/10minutos",59.0,0.0,13.4,0.1,,100g,TACO
"Ovo, de galinha, gema, cozida/10minutos",353.0,1.6,15.9,30.8,,100g,TACO
"Ovo, de galinha, inteiro, cozido/10minutos",146.0,0.6,13.3,9.5,,100g,TACO
"Ovo, de galinha, inteiro, cru",143.0,1.6,13.0,8.9,,100g,TACO
"Ovo, de galinha, inteiro, frito 63, 5",240.0,1.2,15.6,18.6,,100g,TACO
"Achocolatado, pó",401.0,91.2,4.2,2.2,3.9,100g,TACO
"Açúcar, cristal",387.0,99.6,0.3,,,100g,TACO
"Açúcar, mascavo",369.0,94.5,0.8,0.1,,100g,TACO
"Açúcar, refinado",387.0,99.5,0.3,,,100g,TACO
"Chocolate, ao leite",540.0,59.6,7.2,30.3,2.2,100g,TACO
"Chocolate, ao leite, com castanha do Pará",559.0,55.4,7.4,34.2,2.5,100g,TACO
"Chocolate, ao leite, dietético",557.0,56.3,6.9,33.8,2.8,100g,TACO
"Chocolate, meio amargo",475.0,62.4,4.9,29.9,4.9,100g,TACO
Cocada branca,449.0,81.4,1.1,13.6,3.6,100g,TACO
"Doce, de abóbora, cremoso",199.0,54.6,0.9,0.2,2.3,100g,TACO
"Doce, de leite, cremoso",306.0,59.5,5.5,6.0,,100g,TACO
"Geléia, mocotó, natural",106.0,24.2,2.1,0.1,,100g,TACO
Glicose de milho,292.0,79.4,0.0,0.0,,100g,TACO
Maria mole,301.0,73.6,3.8,0.2,0.7,100g,TACO
"Maria mole, coco queimado",307.0,75.1,3.9,0.1,0.6,100g,TACO
Marmelada,257.0,70.8,0.4,0.1,4.1,100g,TACO
"Mel, de abelha",309.0,84.0,0.0,0.0,,100g,TACO
Melado,297.0,76.6,0.0,0.0,,100g,TACO
Quindim,411.0,46.3,4.7,24.4,3.2,100g,TACO
Rapadura,352.0,90.8,1.0,0.1,,100g,TACO
"Café, pó, torrado",419.0,65.8,14.7,11.9,51.2,100g,TACO
"Capuccino, pó",417.0,73.6,11.3,8.6,2.4,100g,TACO
Fermento em,90.0,43.9,0.5,0.1,,100g,TACO
"Fermento, biológico, levedura, tablete",90.0,7.7,17.0,1.5,4.2,100g,TACO
"Gelatina, sabores variados, pó",380.0,89.2,8.9,,,100g,TACO
"Sal, dietético",,,,,,100g,TACO
"Sal, grosso",,,,,,100g,TACO
Shoyu,61.0,11.6,3.3,0.3,,100g,TACO
Temperoa base de sal,21.0,2.1,2.7,0.3,0.6,100g,TACO
"Azeitona, preta, conserva",194.0,5.5,1.2,20.3,4.6,100g,TACO
"Azeitona, verde, conserva",137.0,4.1,0.9,14.2,3.8,100g,TACO
"Chantilly, spray, com gordura vegetal",315.0,16.9,0.5,27.3,,100g,TACO
"Leite, de coco",166.0,2.2,1.0,18.4,0.7,100g,TACO
"Maionese, tradicional com ovos 58, 4",302.0,7.9,0.6,30.5,,100g,TACO
Acarajé,289.0,19.1,8.3,19.9,9.4,100g,TACO
Arroz carreteiro,154.0,11.6,10.8,7.1,1.5,100g,TACO
"Baião de dois, arroze feijão-de-corda",136.0,20.4,6.2,3.2,5.1,100g,TACO
Barreado,165.0,0.2,18.3,9.5,0.1,100g,TACO
"Bifeà cavalo, com contra filé",291.0,0.0,23.7,21.1,,100g,TACO
Bolinho de arroz,274.0,41.7,8.0,8.3,2.7,100g,TACO
Camarãoà baiana,101.0,3.2,7.9,6.0,0.4,100g,TACO
"Charuto, de repolho",78.0,10.1,6.8,1.1,1.5,100g,TACO
"Cuscuz, de milho, cozido com sal",113.0,25.3,2.2,0.7,2.1,100g,TACO
"Cuscuz, paulista",142.0,22.5,2.6,4.6,2.4,100g,TACO
"Cuxá, molho",80.0,5.7,5.6,3.6,3.0,100g,TACO
Dobradinha,125.0,0.0,19.8,4.4,,100g,TACO
Estrogonofe de,173.0,3.0,15.0,10.8,,100g,TACO
Estrogonofe de,157.0,2.6,17.6,8.0,,100g,TACO
Feijão tropeiro mineiro,152.0,19.6,10.2,6.8,3.6,100g,TACO
Feijoada,117.0,11.6,8.7,6.5,5.1,100g,TACO
"Frango, com açafrão",113.0,4.1,9.7,6.2,0.2,100g,TACO
"Macarrão, molho bolognesa",120.0,22.5,4.9,0.9,0.8,100g,TACO
Maniçoba,134.0,3.4,10.0,8.7,2.2,100g,TACO
Quibebe,86.0,6.6,8.6,2.7,1.7,100g,TACO
"Salada, de legumes, com maionese",96.0,8.9,1.1,7.0,2.2,100g,TACO
"Salada, de legumes, cozida no vapor",35.0,7.1,2.0,0.3,2.5,100g,TACO
"Salpicão, de frango",148.0,4.6,13.9,7.8,0.4,100g,TACO
Sarapatel,123.0,1.1,18.5,4.4,,100g,TACO
Tabule,57.0,10.6,2.0,1.2,2.1,100g,TACO
Tacacá,47.0,3.4,7.0,0.4,0.2,100g,TACO
"Tapioca, com manteiga",348.0,63.6,0.1,10.9,,100g,TACO
"Tucupi, com pimenta-de-cheiro",27.0,4.7,2.1,0.3,0.2,100g,TACO
Vaca atolada,145.0,10.1,5.1,9.3,2.3,100g,TACO
Vatapá,255.0,9.7,6.0,23.2,1.7,100g,TACO
Viradoà paulista,307.0,14.1,10.2,25.6,2.2,100g,TACO
"Yakisoba 69, 4 113",113.0,18.3,7.5,2.6,1.1,100g,TACO
"Amendoim, grão, cru",544.0,20.3,27.2,43.9,8.0,100g,TACO
"Amendoim, torrado, salgado",606.0,18.7,22.5,54.0,7.8,100g,TACO
"Ervilha, em vagem",88.0,14.2,7.5,0.5,9.7,100g,TACO
"Ervilha, enlatada, drenada",74.0,13.4,4.6,0.4,5.1,100g,TACO
"Feijão, carioca, cozido",76.0,13.6,4.8,0.5,8.5,100g,TACO
"Feijão, carioca, cru",329.0,61.2,20.0,1.3,18.4,100g,TACO
"Feijão, fradinho, cozido",78.0,13.5,5.1,0.6,7.5,100g,TACO
"Feijão, fradinho, cru",339.0,61.2,20.2,2.4,23.6,100g,TACO
"Feijão, jalo, cozido",93.0,16.5,6.1,0.5,13.9,100g,TACO
"Feijão, jalo, cru",328.0,61.5,20.1,0.9,30.3,100g,TACO
"Feijão, preto, cozido",77.0,14.0,4.5,0.5,8.4,100g,TACO
"Feijão, preto, cru",324.0,58.8,21.3,1.2,21.8,100g,TACO
"Feijão, rajado, cozido",85.0,15.3,5.5,0.4,9.3,100g,TACO
"Feijão, rajado, cru",326.0,62.9,17.3,1.2,24.0,100g,TACO
"Feijão, rosinha, cozido",68.0,11.8,4.5,0.5,4.8,100g,TACO
"Feijão, rosinha, cru",337.0,62.2,20.9,1.3,20.6,100g,TACO
"Feijão, roxo, cozido",77.0,12.9,5.7,0.5,11.5,100g,TACO
"Feijão, roxo, cru",331.0,60.0,22.2,1.2,33.8,100g,TACO
"Grão-de-bico, cru",355.0,57.9,21.2,5.4,12.4,100g,TACO
"Guandu, cru",344.0,64.0,19.0,2.1,21.3,100g,TACO
"Lentilha, cozida",93.0,16.3,6.3,0.5,7.9,100g,TACO
