descricao_alimento,kcal,carboidrato_g,proteina_g,lipideos_g,fibra_alimentar_g,base_por,fonte
"Alface, americana, crua",9.0,1.7,0.6,0.1,1.0,100g,TACO
"Alface, crespa, crua",11.0,1.7,1.3,0.2,1.8,100g,TACO
"Alface, lisa, crua",14.0,2.4,1.7,0.1,2.3,100g,TACO
"Alface, roxa, crua",13.0,2.5,0.9,0.2,2.0,100g,TACO
"Alfavaca, crua",29.0,5.2,2.7,0.5,4.1,100g,TACO
"Alho, cru",113.0,23.9,7.0,0.2,4.3,100g,TACO
"Alho-poró, cru",32.0,6.9,1.4,0.1,2.5,100g,TACO
"Almeirão, cru",18.0,3.3,1.8,0.2,2.6,100g,TACO
"Almeirão, refogado",65.0,5.7,1.7,4.8,3.4,100g,TACO
"Batata, baroa, cozida",80.0,18.9,0.9,0.2,1.8,100g,TACO
"Batata, baroa, crua",101.0,24.0,1.0,0.2,2.1,100g,TACO
"Batata, doce, cozida",77.0,18.4,0.6,0.1,2.2,100g,TACO
"Batata, doce, crua",118.0,28.2,1.3,0.1,2.6,100g,TACO
"Batata, frita, tipo chips, industrializada",543.0,51.2,5.6,36.6,2.5,100g,TACO
"Batata, inglesa, cozida",52.0,11.9,1.2,,1.3,100g,TACO
"Batata, inglesa, crua",64.0,14.7,1.8,,1.2,100g,TACO
"Batata, inglesa, frita",267.0,35.6,5.0,13.1,8.1,100g,TACO
"Batata, inglesa, sauté",68.0,14.1,1.3,0.9,1.4,100g,TACO
"Berinjela, cozida",19.0,4.5,0.7,0.1,2.5,100g,TACO
"Berinjela, crua",20.0,4.4,1.2,0.1,2.9,100g,TACO
"Beterraba, cozida",32.0,7.2,1.3,0.1,1.9,100g,TACO
"Beterraba, crua",49.0,11.1,1.9,0.1,3.4,100g,TACO
"Biscoito, polvilho doce",438.0,80.5,1.3,12.2,1.2,100g,TACO
"Brócolis, cozido",25.0,4.4,2.1,0.5,3.4,100g,TACO
"Brócolis, cru",25.0,4.0,3.6,0.3,2.9,100g,TACO
"Cará, cozido",78.0,18.9,1.5,0.1,2.6,100g,TACO
"Cará, cru",96.0,23.0,2.3,0.1,7.3,100g,TACO
"Caruru, cru",34.0,6.0,3.2,0.6,4.5,100g,TACO
"Catalonha, crua",24.0,4.8,1.9,0.3,2.0,100g,TACO
"Catalonha, refogada",63.0,4.8,2.0,4.8,3.7,100g,TACO
"Cebola, crua",39.0,8.9,1.7,0.1,2.2,100g,TACO
"Cebolinha, crua",20.0,3.4,1.9,0.4,3.6,100g,TACO
"Cenoura, cozida",30.0,6.7,0.8,0.2,2.6,100g,TACO
"Cenoura, crua",34.0,7.7,1.3,0.2,3.2,100g,TACO
"Chicória, crua",14.0,2.9,1.1,0.1,2.2,100g,TACO
"Chuchu, cozido",19.0,4.8,0.4,,1.0,100g,TACO
"Chuchu, cru",17.0,4.1,0.7,0.1,1.3,100g,TACO
"Coentro, folhas desidratadas",309.0,48.0,20.9,10.4,37.3,100g,TACO
"Couve, manteiga, crua",27.0,4.3,2.9,0.5,3.1,100g,TACO
"Couve, manteiga, refogada",90.0,8.7,1.7,6.6,5.7,100g,TACO
"Couve-flor, crua",23.0,4.5,1.9,0.2,2.4,100g,TACO
"Couve-flor, cozida",19.0,3.9,1.2,0.3,2.1,100g,TACO
"Espinafre, Nova Zelândia, cru",16.0,2.6,2.0,0.2,2.1,100g,TACO
"Espinafre, Nova Zelândia, refogado",67.0,4.2,2.7,5.4,2.5,100g,TACO
"Farinha, de mandioca, crua",361.0,87.9,1.6,0.3,6.4,100g,TACO
"Farinha, de mandioca, torrada",365.0,89.2,1.2,0.3,6.5,100g,TACO
"Farinha, de puba",360.0,87.3,1.6,0.5,4.2,100g,TACO
"Fécula, de mandioca",331.0,81.1,0.5,0.3,0.6,100g,TACO
"Feijão, broto, cru",39.0,7.8,4.2,0.1,2.0,100g,TACO
"Inhame, cru",97.0,23.2,2.1,0.2,1.7,100g,TACO
"Jiló, cru",27.0,6.2,1.4,0.2,4.8,100g,TACO
"Jurubeba, crua",126.0,23.1,4.4,3.9,23.9,100g,TACO
"Mandioca, cozida",125.0,30.1,0.6,0.3,1.6,100g,TACO
